[8, 9, 1, 2, 3, 5, 6, 12, 7, 4, 11, 10, 13]
[1, 11, 4, 3, 7, 2, 10, 6, 5, 12, 9, 8, 13]
[5, 7, 4, 10, 9, 6, 3, 1, 2, 8, 11, 12, 13]
[1, 8, 10, 11, 12, 2, 5, 6, 3, 9, 4, 7, 13]
[12, 10, 11, 13, 3, 2, 1, 8, 9, 4, 5, 6, 7]
[5, 6, 2, 9, 10, 12, 4, 3, 8, 7, 1, 11, 13]
[7, 11, 10, 2, 1, 9, 8, 5, 6, 4, 13, 12, 3]
[12, 11, 10, 9, 8, 7, 5, 4, 1, 2, 3, 6, 13]
[1, 9, 12, 13, 6, 7, 8, 5, 2, 4, 11, 10, 3]
[1, 5, 12, 11, 2, 6, 7, 8, 9, 3, 10, 4, 13]
[6, 8, 9, 2, 3, 12, 11, 10, 5, 4, 1, 13, 7]
[1, 13, 8, 7, 3, 9, 6, 5, 4, 12, 11, 10, 2]
[1, 2, 4, 3, 12, 13, 10, 9, 8, 7, 6, 11, 5]
[5, 7, 8, 13, 9, 1, 10, 11, 12, 4, 3, 2, 6]
[5, 6, 7, 10, 13, 3, 2, 1, 12, 4, 11, 9, 8]
[5, 4, 3, 2, 1, 9, 13, 11, 7, 8, 12, 6, 10]
[1, 2, 7, 12, 13, 4, 10, 3, 5, 6, 11, 9, 8]
[2, 6, 13, 12, 11, 3, 10, 9, 7, 8, 4, 5, 1]
[10, 12, 6, 5, 3, 2, 4, 7, 8, 9, 1, 11, 13]
[1, 10, 8, 7, 4, 3, 2, 5, 6, 11, 9, 12, 13]
[2, 12, 4, 5, 6, 7, 8, 13, 10, 9, 1, 11, 3]
[1, 2, 10, 12, 13, 9, 11, 8, 5, 4, 6, 7, 3]
[1, 11, 4, 5, 6, 9, 7, 3, 8, 2, 10, 12, 13]
[12, 13, 5, 4, 8, 9, 1, 3, 2, 6, 11, 10, 7]
[5, 10, 9, 11, 2, 6, 7, 8, 1, 3, 4, 12, 13]
[9, 1, 2, 6, 7, 4, 3, 5, 10, 11, 12, 13, 8]
[1, 9, 4, 5, 6, 10, 13, 8, 11, 12, 7, 2, 3]
[1, 9, 13, 3, 5, 6, 7, 2, 8, 4, 12, 11, 10]
[1, 3, 9, 10, 2, 11, 5, 4, 6, 12, 8, 7, 13]
[1, 2, 12, 6, 5, 7, 8, 11, 9, 4, 3, 10, 13]
[1, 3, 4, 8, 7, 5, 9, 12, 13, 11, 10, 2, 6]
[13, 11, 3, 5, 4, 2, 1, 10, 9, 6, 7, 8, 12]
[13, 6, 3, 1, 12, 11, 10, 9, 8, 7, 4, 5, 2]
[13, 12, 7, 8, 9, 1, 10, 11, 4, 3, 5, 6, 2]
[12, 10, 4, 5, 3, 2, 7, 6, 11, 1, 8, 9, 13]
[11, 7, 3, 2, 1, 5, 6, 8, 4, 13, 12, 10, 9]
[1, 7, 8, 13, 12, 6, 5, 4, 3, 10, 9, 11, 2]
[2, 3, 10, 9, 13, 8, 1, 11, 12, 4, 5, 6, 7]
[1, 7, 3, 9, 8, 13, 12, 5, 6, 11, 10, 4, 2]
[9, 8, 7, 6, 5, 3, 2, 11, 1, 4, 13, 10, 12]
[1, 2, 13, 8, 3, 4, 6, 11, 10, 9, 12, 5, 7]
[11, 12, 13, 6, 3, 9, 8, 1, 2, 10, 5, 4, 7]
[11, 1, 2, 7, 8, 3, 4, 9, 10, 6, 12, 13, 5]
[9, 10, 3, 2, 5, 11, 12, 13, 1, 6, 7, 8, 4]
[1, 10, 12, 11, 9, 8, 4, 7, 6, 13, 2, 3, 5]
[1, 6, 13, 11, 12, 3, 2, 10, 7, 8, 9, 5, 4]
[1, 2, 3, 8, 6, 11, 4, 5, 12, 7, 13, 10, 9]
[1, 13, 8, 2, 5, 9, 10, 4, 3, 6, 7, 11, 12]
[2, 13, 12, 11, 3, 9, 10, 6, 1, 8, 7, 5, 4]
[4, 8, 7, 6, 11, 10, 2, 1, 12, 3, 5, 9, 13]
[4, 5, 3, 2, 7, 6, 1, 9, 10, 8, 12, 13, 11]
[1, 8, 7, 5, 4, 11, 3, 6, 2, 10, 9, 13, 12]
[10, 6, 7, 3, 5, 4, 12, 13, 8, 9, 11, 1, 2]
[9, 8, 5, 6, 13, 12, 1, 11, 7, 2, 3, 4, 10]
[12, 11, 1, 6, 2, 3, 5, 7, 4, 10, 9, 8, 13]
[4, 9, 6, 7, 12, 13, 5, 8, 11, 10, 3, 2, 1]
[9, 7, 12, 10, 6, 5, 4, 11, 1, 2, 3, 8, 13]
[12, 1, 6, 10, 9, 11, 13, 2, 3, 4, 5, 8, 7]
[10, 3, 2, 1, 12, 6, 7, 8, 5, 11, 4, 9, 13]
[6, 7, 4, 1, 13, 12, 11, 10, 2, 9, 8, 5, 3]
[1, 6, 7, 13, 12, 11, 3, 4, 5, 2, 9, 10, 8]
[7, 6, 5, 8, 2, 3, 9, 1, 10, 11, 4, 12, 13]
[7, 8, 1, 12, 13, 3, 4, 5, 9, 6, 10, 11, 2]
[10, 13, 4, 8, 9, 11, 12, 3, 2, 1, 5, 6, 7]
[7, 10, 13, 6, 5, 12, 11, 4, 8, 9, 3, 2, 1]
[7, 6, 3, 11, 12, 9, 8, 2, 1, 10, 4, 5, 13]
[6, 5, 8, 11, 12, 1, 10, 9, 4, 3, 7, 2, 13]
[2, 1, 7, 12, 13, 5, 8, 9, 4, 3, 6, 11, 10]
[6, 5, 1, 2, 4, 11, 10, 3, 9, 8, 12, 13, 7]
[3, 9, 7, 6, 5, 4, 8, 11, 2, 1, 12, 13, 10]
[4, 1, 2, 3, 5, 12, 9, 10, 6, 8, 7, 11, 13]
[13, 12, 11, 2, 3, 8, 1, 7, 6, 9, 4, 5, 10]
[5, 4, 6, 9, 10, 11, 2, 3, 1, 7, 12, 8, 13]
[7, 8, 2, 3, 12, 11, 4, 5, 1, 13, 10, 9, 6]
[3, 6, 10, 9, 1, 2, 7, 13, 12, 11, 5, 4, 8]
[4, 5, 8, 7, 6, 1, 9, 10, 12, 13, 2, 3, 11]
[3, 1, 12, 4, 5, 6, 11, 13, 2, 10, 9, 8, 7]
[3, 4, 8, 5, 11, 12, 13, 6, 7, 2, 10, 9, 1]
[7, 8, 9, 5, 11, 10, 1, 3, 2, 12, 13, 4, 6]
[1, 2, 3, 12, 7, 9, 10, 11, 5, 13, 4, 8, 6]
[6, 5, 13, 12, 4, 2, 1, 9, 11, 10, 3, 7, 8]
[7, 6, 10, 1, 4, 3, 2, 13, 12, 11, 9, 8, 5]
[11, 5, 6, 1, 7, 8, 2, 12, 9, 10, 3, 4, 13]
[11, 10, 8, 13, 12, 7, 9, 2, 1, 6, 5, 3, 4]
[3, 2, 4, 10, 9, 8, 11, 12, 6, 1, 5, 7, 13]
[12, 6, 11, 9, 10, 7, 8, 13, 5, 4, 1, 2, 3]
[9, 10, 13, 12, 1, 11, 3, 6, 5, 4, 8, 7, 2]
[1, 12, 11, 13, 10, 3, 4, 9, 6, 5, 2, 7, 8]
[1, 5, 8, 2, 10, 11, 4, 3, 9, 7, 6, 12, 13]
[9, 3, 6, 7, 1, 2, 12, 11, 10, 5, 4, 8, 13]
[10, 11, 7, 8, 4, 3, 12, 6, 5, 9, 1, 2, 13]
[1, 8, 10, 12, 13, 7, 6, 5, 11, 2, 3, 4, 9]
[2, 5, 9, 10, 11, 4, 3, 6, 12, 1, 7, 8, 13]
[10, 9, 2, 1, 5, 3, 6, 11, 12, 4, 8, 7, 13]
[6, 7, 3, 2, 4, 10, 12, 11, 9, 8, 5, 1, 13]
[3, 11, 8, 9, 10, 7, 12, 6, 5, 4, 2, 1, 13]
[8, 9, 10, 13, 3, 2, 7, 6, 4, 5, 12, 1, 11]
[9, 8, 2, 3, 4, 11, 10, 1, 12, 7, 6, 13, 5]
[2, 1, 11, 3, 8, 7, 6, 5, 12, 4, 10, 9, 13]
[1, 8, 10, 9, 6, 7, 13, 3, 2, 5, 4, 11, 12]
