[12, 11, 10, 9, 1, 2, 3, 4, 8, 7, 6, 5]
[5, 6, 7, 8, 9, 10, 1, 2, 3, 4, 11, 12]
[3, 2, 1, 4, 5, 6, 7, 8, 10, 9, 11, 12]
[7, 8, 9, 10, 11, 12, 1, 2, 3, 4, 5, 6]
[3, 2, 1, 7, 6, 5, 4, 10, 9, 8, 11, 12]
[7, 8, 2, 3, 4, 5, 6, 1, 9, 10, 11, 12]
[1, 2, 3, 4, 5, 12, 6, 11, 10, 9, 8, 7]
[1, 2, 3, 4, 5, 10, 9, 7, 6, 8, 11, 12]
[1, 8, 9, 10, 5, 6, 7, 2, 3, 4, 11, 12]
[4, 3, 2, 1, 5, 8, 7, 6, 9, 10, 11, 12]
[1, 2, 3, 4, 5, 10, 11, 6, 7, 8, 9, 12]
[1, 2, 7, 8, 4, 3, 5, 6, 9, 10, 11, 12]
[1, 4, 5, 6, 7, 8, 2, 3, 9, 10, 11, 12]
[8, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1, 12]
[1, 2, 3, 10, 11, 12, 7, 8, 9, 6, 5, 4]
[5, 6, 10, 9, 8, 7, 4, 3, 2, 1, 11, 12]
[1, 2, 12, 11, 10, 9, 8, 3, 4, 7, 6, 5]
[1, 10, 9, 5, 6, 7, 8, 4, 3, 2, 11, 12]
[1, 2, 3, 4, 5, 6, 7, 11, 12, 8, 9, 10]
[1, 3, 2, 4, 7, 6, 5, 8, 9, 10, 11, 12]
[1, 2, 6, 7, 8, 9, 10, 11, 12, 5, 3, 4]
[1, 9, 8, 7, 6, 5, 4, 10, 2, 3, 11, 12]
[9, 8, 3, 2, 1, 4, 5, 6, 7, 10, 11, 12]
[1, 3, 4, 5, 6, 7, 8, 2, 9, 10, 11, 12]
[1, 2, 3, 11, 12, 10, 9, 8, 7, 6, 5, 4]
[1, 2, 3, 4, 11, 10, 9, 5, 8, 7, 6, 12]
[1, 2, 4, 3, 9, 8, 7, 5, 6, 10, 11, 12]
[9, 10, 11, 12, 5, 6, 7, 8, 1, 2, 3, 4]
[1, 2, 3, 10, 11, 12, 4, 5, 6, 7, 9, 8]
[1, 2, 3, 5, 4, 12, 6, 7, 8, 9, 10, 11]
[1, 9, 3, 2, 8, 7, 6, 5, 4, 10, 11, 12]
[3, 2, 1, 5, 4, 6, 7, 8, 9, 10, 11, 12]
[1, 7, 6, 5, 4, 3, 2, 8, 11, 10, 9, 12]
[1, 3, 4, 5, 8, 7, 6, 2, 9, 10, 11, 12]
[9, 8, 7, 6, 5, 3, 4, 1, 2, 10, 11, 12]
[8, 9, 10, 11, 7, 6, 1, 2, 3, 4, 5, 12]
[7, 8, 9, 10, 5, 4, 3, 2, 1, 6, 11, 12]
[8, 9, 10, 11, 7, 1, 2, 3, 4, 5, 6, 12]
[10, 11, 12, 8, 7, 6, 5, 4, 3, 2, 1, 9]
[1, 3, 4, 5, 6, 7, 8, 11, 10, 9, 2, 12]
[1, 7, 8, 2, 3, 4, 5, 6, 11, 10, 9, 12]
[9, 10, 11, 12, 8, 7, 6, 5, 1, 2, 3, 4]
[3, 2, 1, 11, 12, 10, 9, 8, 7, 6, 5, 4]
[1, 2, 9, 3, 4, 5, 8, 7, 6, 10, 11, 12]
[1, 2, 6, 5, 10, 9, 8, 7, 3, 4, 11, 12]
[1, 6, 7, 8, 9, 3, 2, 5, 4, 10, 11, 12]
[12, 11, 10, 9, 8, 7, 6, 4, 5, 3, 2, 1]
[1, 2, 7, 3, 4, 5, 6, 8, 9, 10, 11, 12]
[1, 2, 3, 4, 5, 11, 9, 10, 8, 7, 6, 12]
[1, 2, 3, 6, 7, 10, 9, 8, 4, 5, 11, 12]
[1, 2, 3, 4, 5, 8, 9, 6, 7, 11, 10, 12]
[1, 2, 3, 4, 5, 7, 6, 8, 10, 9, 11, 12]
